method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed
fixo_igual,grid,0,10000,175.7728181212525,335.9499999999998,747.0,264.0,2721,302.65123116501286,149.81220657276995,221.64055299539172,3002,
fixo_igual,grid,1,10001,172.04537758211987,318.4000000000001,744.0,250.0,2685,298.1940409683426,152.95696721311475,209.26873126873127,2953,
fixo_igual,grid,2,10002,174.15317433658046,316.0,657.0,255.0,2752,298.3630087209302,154.62468257998984,212.29960317460316,2977,
fixo_igual,grid,3,10003,173.0604696043744,311.5999999999999,699.0,269.0,2867,296.15207534007675,151.57373046875,214.5353440150801,3109,
fixo_igual,grid,4,10004,166.8538918205805,308.4499999999998,595.0,256.0,2776,289.3933717579251,147.8294953454189,206.03531786074672,3032,
fixo_igual,grid,5,10005,171.08383433533734,321.0,665.0,239.0,2770,295.00505415162456,150.45506493506494,208.2310570626754,2994,
fixo_igual,grid,6,10006,169.02858103564222,307.0,648.0,259.0,2727,293.6046938027136,149.22834251377066,209.50051177072672,2974,
fixo_igual,grid,7,10007,172.59644502962476,327.1500000000001,597.0,263.0,2777,299.1735685992078,152.271407110666,211.58693563880882,3038,
fixo_igual,grid,8,10008,172.95346534653464,326.5499999999997,769.0,262.0,2800,300.07142857142856,153.747,210.24757281553397,3030,
fixo_igual,grid,9,10009,168.9276708692767,325.3499999999999,741.0,251.0,2787,294.01865805525654,146.06626506024097,213.4872798434442,3014,
fixo_igual,grid,10,10010,179.887936717205,363.0,821.0,268.0,2780,308.69028776978416,154.98688193743692,226.8022813688213,3034,
fixo_igual,grid,11,10011,184.85584415584415,366.0,888.0,271.0,2831,314.07983044860475,164.19646365422398,225.1455938697318,3080,
fixo_igual,grid,12,10012,162.77164827816785,282.0,787.0,239.0,2758,284.5852066715011,142.81669226830516,200.3169556840077,2991,
fixo_igual,grid,13,10013,167.13216453135536,307.75,603.0,249.0,2740,289.20948905109486,147.84953940634597,204.36363636363637,2966,
fixo_igual,grid,14,10014,176.21981320880587,332.0,684.0,265.0,2754,302.8028322440087,157.73222390317702,212.33891625615763,2998,
fixo_igual,grid,15,10015,184.35749426041326,378.0,904.0,263.0,2774,314.8914924297044,160.47067745197168,228.47338935574228,3049,
fixo_igual,grid,16,10016,170.02739726027397,315.0499999999997,725.0,265.0,2667,295.50993625796775,148.81425598335068,210.8807615230461,2920,
fixo_igual,grid,17,10017,190.1380766731644,381.0,807.0,308.0,2799,320.0135762772419,164.17864173228347,240.5678776290631,3078,
fixo_igual,grid,18,10018,167.67736598279285,303.9499999999998,644.0,257.0,2781,292.02085580726356,149.8703420112302,200.49388523047978,3022,
fixo_igual,grid,19,10019,176.16983606557378,329.0,975.0,265.0,2827,301.3919349133357,153.3413775766717,218.9651272384543,3050,
fixo_proporcional,grid,0,10000,105.13191205862758,331.9499999999998,819.0,158.0,2795,216.6572450805009,56.31872717788211,191.37603686635944,3002,
fixo_proporcional,grid,1,10001,95.24754486962411,280.4000000000001,612.0,150.0,2775,207.2962162162162,57.201331967213115,169.43956043956044,2953,
fixo_proporcional,grid,2,10002,104.38360765871683,323.39999999999964,607.0,159.0,2781,214.5900755124056,61.350431691213814,188.44345238095238,2977,
fixo_proporcional,grid,3,10003,97.98552589256995,292.0,685.0,151.0,2934,206.9901158827539,55.68359375,179.63901979264844,3109,
fixo_proporcional,grid,4,10004,92.52143799472296,286.4499999999998,746.0,137.0,2847,201.00175623463295,54.78049975502205,170.25025227043392,3032,
fixo_proporcional,grid,5,10005,100.45257181028724,304.3499999999999,875.0,142.0,2804,209.97218259629102,59.536623376623375,174.13189897100094,2994,
fixo_proporcional,grid,6,10006,94.12878278412911,288.3499999999999,929.0,146.0,2793,202.46974579305407,57.599899849774665,168.7942681678608,2974,
fixo_proporcional,grid,7,10007,100.41639236339697,310.0,764.0,174.0,2841,212.77648715241114,61.28943415122684,175.47550432276657,3038,
fixo_proporcional,grid,8,10008,102.80594059405941,308.0,674.0,152.0,2868,216.7060669456067,63.1565,179.79514563106795,3030,
fixo_proporcional,grid,9,10009,94.11247511612476,270.3499999999999,723.0,146.0,2836,203.94464033850494,55.92620481927711,168.54207436399219,3014,
fixo_proporcional,grid,10,10010,100.37409360580092,291.3499999999999,577.0,149.0,2842,210.91027445460944,59.059031281533805,178.21292775665398,3034,
fixo_proporcional,grid,11,10011,105.49577922077923,346.0,739.0,156.0,2902,218.72570640937283,61.56925343811395,191.16091954022988,3080,
fixo_proporcional,grid,12,10012,90.89334670678703,265.0,717.0,138.0,2824,200.80594900849857,54.85099846390169,158.70712909441232,2991,
fixo_proporcional,grid,13,10013,91.74848280512475,269.0,580.0,134.0,2795,199.21109123434704,56.03940634595701,160.69664031620553,2966,
fixo_proporcional,grid,14,10014,93.05370246831221,272.1500000000001,497.0,137.0,2830,204.49222614840988,57.58799798285426,162.34285714285716,2998,
fixo_proporcional,grid,15,10015,106.21154476877665,306.0,852.0,166.0,2838,219.23044397463002,64.56420626895854,183.12885154061624,3049,
fixo_proporcional,grid,16,10016,99.72979452054794,296.0,740.0,145.0,2714,211.50368459837878,59.21383975026015,177.75751503006012,2920,
fixo_proporcional,grid,17,10017,109.02988953866146,335.14999999999964,797.0,170.0,2879,221.62382771795762,60.97293307086614,202.387189292543,3078,
fixo_proporcional,grid,18,10018,91.42190602250166,269.0,531.0,134.0,2853,202.38555906063792,55.969882593159774,156.75634995296332,3022,
fixo_proporcional,grid,19,10019,102.76262295081968,301.0,1091.0,145.0,2861,213.1744145403705,59.92307692307692,183.07163053722903,3050,
atuado_gap,grid,0,10000,270.2964690206529,864.8499999999995,2104.0,405.0,2526,379.59897070467144,157.11580594679185,470.2663594470046,3002,
atuado_gap,grid,1,10001,260.3454114459871,747.4000000000001,1740.0,335.0,2600,386.91115384615387,167.9298155737705,440.56043956043953,2953,
atuado_gap,grid,2,10002,258.47631844138397,767.1999999999998,1535.0,350.0,2575,370.18563106796114,164.85474860335196,441.3541666666667,2977,
atuado_gap,grid,3,10003,255.3293663557414,768.0,1798.0,364.0,2704,368.7440828402367,150.82177734375,457.0556079170594,3109,
atuado_gap,grid,4,10004,220.77913502806206,652.0,1239.0,357.0,2617,334.6977455101261,141.06075453209212,385.4605263157895,3029,
atuado_gap,grid,5,10005,261.9909819639279,740.3499999999999,1469.0,355.0,2609,381.2621694135684,173.95324675324676,420.52478952291864,2994,
atuado_gap,grid,6,10006,234.17417619367853,830.7499999999995,1553.0,345.0,2625,348.8217142857143,139.36905358037055,427.957011258956,2974,
atuado_gap,grid,7,10007,269.04707044107965,813.4500000000003,1540.0,376.0,2637,391.40879787637465,184.66049073610415,430.9298751200769,3038,
atuado_gap,grid,8,10008,310.3666666666667,1020.0,2354.0,507.0,2532,410.89415481832543,184.865,554.0592233009709,3030,
atuado_gap,grid,9,10009,231.3335552596538,694.0,1476.0,330.0,2629,339.2236591860023,148.60642570281124,394.17193675889325,3004,
atuado_gap,grid,10,10010,287.495385629532,942.3999999999996,1894.0,427.0,2522,381.035685963521,180.2310797174571,489.5846007604563,3034,
atuado_gap,grid,11,10011,277.7172077922078,945.0,2051.0,434.0,2596,377.76271186440675,190.09921414538312,448.5890804597701,3080,
atuado_gap,grid,12,10012,202.555667001003,564.5,1530.0,277.0,2672,319.999251497006,132.25140809011776,334.8333333333333,2991,
atuado_gap,grid,13,10013,286.06540795684424,871.5,1941.0,423.0,2538,399.59574468085106,189.4145342886387,472.6818181818182,2966,
atuado_gap,grid,14,10014,253.32188125416945,739.4500000000003,1463.0,326.0,2642,376.83838001514005,175.75844679778115,404.85714285714283,2998,
atuado_gap,grid,15,10015,371.5823994726434,1299.35,2946.0,555.0,2424,440.3927392739274,222.09908998988877,651.5804924242424,3034,
atuado_gap,grid,16,10016,268.00513698630135,857.0,1883.0,412.0,2466,384.7810218978102,168.2908428720083,460.04008016032066,2920,
atuado_gap,grid,17,10017,323.1453658536585,954.5999999999995,2157.0,492.0,2517,427.07389749702025,223.1535433070866,517.9520613614574,3075,
atuado_gap,grid,18,10018,235.8656518861681,672.9499999999998,1275.0,372.0,2625,351.8007619047619,152.89076059213883,388.7798682972719,3022,
atuado_gap,grid,19,10019,298.19245901639346,914.6499999999992,1863.0,417.0,2558,399.3608287724785,177.6480643539467,524.1705937794534,3050,
max_pressure,grid,0,10000,555.2205128205128,2086.399999999998,3504.0,731.0,1901,464.67017359284586,324.2855626326964,1069.501182033097,2730,
max_pressure,grid,1,10001,489.2765883977901,1662.25,3575.0,814.0,1990,515.3733668341708,345.5550891920252,765.9767676767676,2896,
max_pressure,grid,2,10002,517.3892074198989,1657.7999999999997,3496.0,896.0,1994,517.3244734202608,383.9791666666667,780.7301905717152,2965,
max_pressure,grid,3,10003,568.430662020906,2445.0,3551.0,885.0,1935,426.1524547803618,351.22692889561273,1054.0169109357385,2870,
max_pressure,grid,4,10004,378.37550881953865,1542.0,3259.0,616.0,2220,398.16846846846846,239.687408133268,690.4619625137817,2948,
max_pressure,grid,5,10005,491.8069705093834,1580.6999999999998,3493.0,772.0,2141,538.3045305931807,371.20467532467535,711.0321057601511,2984,
max_pressure,grid,6,10006,374.35962473940236,1536.15,3377.0,631.0,2173,394.31983433041876,216.0951427140711,733.1044267877412,2878,
max_pressure,grid,7,10007,529.2672500841468,1853.5,3256.0,954.0,1951,496.45873910814964,397.7484756097561,787.3220338983051,2971,
max_pressure,grid,8,10008,520.940349674323,1971.0,3454.0,825.0,2037,485.57191948944524,358.85235235235234,873.3362350380849,2917,
max_pressure,grid,9,10009,388.09164969450103,1499.5,3221.0,693.0,2173,396.78877128393924,266.40669371196753,634.4599589322382,2946,
max_pressure,grid,10,10010,494.2457934675025,1789.0,3477.0,865.0,2091,494.4232424677188,374.42604745078245,720.3057142857143,3031,
max_pressure,grid,11,10011,498.16716319099635,1755.0,3520.0,939.0,1993,432.5449071751129,353.07121661721067,791.8448448448448,3021,
max_pressure,grid,12,10012,368.3226459669254,1271.9,3073.0,605.0,2288,415.4567307692308,259.93497183819767,577.9079207920792,2963,
max_pressure,grid,13,10013,548.3288843258042,1911.7999999999993,3485.0,879.0,1953,547.9677419354839,401.88683127572017,839.416155419223,2922,
max_pressure,grid,14,10014,632.4459222961148,2110.5999999999995,3440.0,936.0,1865,581.2691689008043,420.35552115583073,1079.7051142546245,2857,
max_pressure,grid,15,10015,691.5452973720609,2259.499999999998,3543.0,1098.0,1754,635.094070695553,507.3150973172015,1044.9475277497477,2892,
max_pressure,grid,16,10016,584.3733187931662,2181.0,3384.0,877.0,1816,463.8204845814978,351.3904216553878,1123.6024096385543,2751,
max_pressure,grid,17,10017,481.76846965699207,1738.4499999999998,3425.0,786.0,2146,495.41006523765145,356.8456575682382,729.2802359882006,3032,
max_pressure,grid,18,10018,424.5113290497126,1471.0,3494.0,704.0,2170,432.5216589861751,279.3430321592649,709.4659318637274,2957,
max_pressure,grid,19,10019,644.2552011095701,2243.3999999999996,3460.0,1042.0,1787,494.8931169557918,446.68257998984257,1069.4142076502733,2884,
dqn,grid,0,10000,85.3234510326449,363.6499999999987,1608.0,118.0,2801,196.4512674044984,92.2394366197183,73.10414746543779,3002,7
dqn,grid,1,10001,86.38841855739925,380.4000000000001,1800.0,104.0,2777,192.9920777817789,90.92520491803279,77.54145854145854,2953,7
dqn,grid,2,10002,88.57037285858246,408.39999999999964,1710.0,107.0,2815,199.56767317939608,92.94362620619604,80.02777777777777,2977,7
dqn,grid,3,10003,85.44129945320039,360.1999999999998,1486.0,112.0,2946,195.92294636795654,91.3505859375,74.03487276154571,3109,7
dqn,grid,4,10004,84.06200527704486,384.89999999999964,1586.0,106.0,2846,192.27442023893184,90.54777070063695,70.70433905146317,3032,7
dqn,grid,5,10005,85.62792251169004,366.6999999999998,1828.0,118.0,2834,192.37438249823572,95.00987012987012,68.733395696913,2994,7
dqn,grid,6,10006,85.11735036987223,409.3499999999999,1686.0,110.0,2797,193.41043975688237,93.62143214822234,67.73490276356192,2974,7
dqn,grid,7,10007,82.67182356813693,400.1500000000001,1597.0,115.0,2853,191.39852786540484,90.3264897346019,67.98751200768491,3038,7
dqn,grid,8,10008,85.57722772277228,376.5499999999997,2197.0,117.0,2857,196.73398669933496,93.7955,69.61941747572816,3030,7
dqn,grid,9,10009,85.17551426675514,408.39999999999964,1425.0,118.0,2825,192.86442477876105,90.60240963855422,74.59784735812133,3014,7
dqn,grid,10,10010,91.08470665787739,418.3499999999999,1578.0,123.0,2856,202.18837535014006,100.42129162462159,73.49429657794677,3034,7
